Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,7,Rishard Matthews,227,WR,2018,0,0,4,22,87,0,0,0,0,0,3,4,0,230,3160,21,,,Nevada
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,Mike Pouncey,15,G,2019,0,4,7,52,114,0,0,0,0,0,,,0,,,0,,,Florida
2011,2,Daniel Thomas,62,RB,2014,0,0,0,11,52,0,0,0,0,0,409,1480,10,55,412,3,,,Kansas St.
2011,4,Clyde Gates,111,WR,2013,0,0,0,3,32,0,0,0,0,0,2,16,0,30,365,0,,,Abilene Christian
2011,6,Charles Clay,174,TE,2019,0,0,9,29,127,0,0,0,0,0,7,15,1,357,3868,24,,,Tulsa
2011,7,Frank Kearse,231,DT,2015,0,0,0,5,35,0,0,0,0,0,,,0,,,0,,5.5,Alabama A&M
2011,7,Jimmy Wilson,235,DB,2015,0,0,1,12,73,0,0,0,0,0,,,0,,,0,5,3.0,Montana
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,Jared Odrick,28,DE,2016,0,0,3,29,87,0,0,0,0,0,,,0,,,0,1,23.0,Penn St.
2010,2,Koa Misi,40,LB,2016,0,0,6,30,84,0,0,0,0,0,,,0,,,0,,12.0,Utah
2010,3,John Jerry,73,T,2019,0,0,6,40,132,0,0,0,0,0,,,0,,,0,,,Mississippi
2010,4,A.J. Edds,119,LB,2014,0,0,0,1,17,0,0,0,0,0,,,0,,,0,,,Iowa
2010,5,Nolan Carroll,145,DB,2017,0,0,4,20,103,0,0,0,0,0,,,0,,,0,8,3.0,Maryland
2010,5,Reshad Jones,163,DB,2019,0,2,8,44,128,0,0,0,0,0,,,0,,,0,21,10.5,Georgia
